, 0, 0
3913, 5000, 0, 0
3913, 5000, 0, 0
3913, 5000, 0, 0
3913, 5000, 0, 0
3913, 5000, 0, 0
3913, 5000, 0, 0
3913, 5000, 0, 0
3913, 5000, 0, 0
3913, 5000, 0, 0
3913, 5000, 0, 0
3913, 5000, 0, 0
3913, 5000, 0, 0
3913143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3142, 5000, 0, 0
3142, 5000, 0, 0
3142, 5000, 0, 0
3142, 5000, 0, 0
3142, 5000, 0, 0
3142, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3144, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
3143, 5000, 0, 0
